name,descr,company,calories,sodium,trans_fat,sat_fat,sodium_units,trans_fat_units,sat_fat_units,serving_size,fat,protein,carbs,category,serving_size_units,fat_units,protein_units,carb_units,nutrition,rank,sugar,rank_out_of,sugar_units,price_in_dollar
Bacon Cheddar Doubleburger,"What's in it: Applewood smoked bacon, cheddar cheese, crisp leaf lettuce, fresh tomato, sliced onion, and special sauce on double patties.",Johnny Rockets,3500,3720.0,,88.0,mg,g,g,,,,,,,,,,,,,,,
Breakfast Burrito,"What's in it: Scrambled eggs, bacon, chicken chorizo, cheese, crispy potatoes, avocado, peppers and onions ... with a side of sour cream and black beans.",Cheesecake Factory,2730,4630.0,,73.0,mg,g,g,,,,,,,,,,,,,,,
Pineapple Upside Down Master Blast Shake,"What's in it: Vanilla ice cream mixed with pineapple, salted caramel, and pie crust pieces.",Sonic,2020,,5.0,61.0,mg,g,g,,,,,,,,,,,,,,,
Double SmokeShack Burger,"What's in it: A double patty with bacon, cherry pepper and ShackSauce on top. Plus a side of fries and a peanut butter shake.",Shake Shack,2240,3170.0,,55.0,mg,g,g,,,,,,,,,,,,,,,
40-Piece Chicken Nugget Set,What's in it: 40 chicken nuggets and the accompanying dipping sauces.,McDonald's,1880,3600.0,,20.0,mg,g,g,,,,,,,,,,,,,,,
Cheese Curd Bacon Burger,"What's in it: Deep-fried cheese curds on top of lettuce, tomato, onion, American cheese, a mayonnaise-based sauce, and two strips of bacon.",Buffalo Wild Wings,1950,4700.0,,53.0,mg,g,g,,,,,,,,,,,,,,,
Dave's Triple,"What's in it: Three quarter-pound patties with cheese, lettuce, tomatoes, pickles, onions, and condiments.",Wendy's,1090,1910.0,,30.0,mg,g,g,,,,,,,,,,,,,,,
Carnivore Pizzadilla,"What's in it: A giant quesadilla stuffed with Manchego and cheddar cheeses, pepperoni, and Italian sausage, which is then smothered in more cheese, pepperoni, and sausage. It's also got bacon and marinara sauce.",Dave & Buster's,1970,4440.0,,67.0,mg,g,g,,,,,,,,,,,,,,,
4-Cheese Mac & Cheese with Honey Pepper Chicken Tenders,What's in it: Four-cheese mac and cheese topped with crispy breaded chicken tenders that are tossed in honey pepper sauce and topped with bacon.,Applebee's,1830,4300.0,,92.0,mg,g,g,,,,,,,,,,,,,,,
Pasta Napoletana,"What's in it: Butter and cream-flavored pasta topped with Italian sausage, pepperoni, meatballs, and bacon.",Cheesecake Factory,2310,4370.0,,79.0,mg,g,g,,,,,,,,,,,,,,,
3-Meat Plate,"What's in it: Polish sausage, pork ribs, and beef brisket with sides of fried onion tanglers and mac and cheese with an ice cream cone for dessert.",Dickey's Barbecue Pit,2500,4700.0,,49.0,mg,g,g,,,,,,,,,,,,,,,
Cheeseburger Omelette With Pancakes,"What's in it: Eggs stuffed with cheeseburger patty pieces, hash browns, tomatoes, onions, American cheese ketchup, mustard, and pickles, plus a side of buttered and syrup-ed pancakes.",IHOP,1990,4580.0,,45.0,mg,g,g,,,,,,,,,,,,,,,
Herb-Roasted Prime Rib,"What's in it: The meat, plus a dressed baked potato and blue cheese wedge side salad, as well as half a loaf of free bread with butter.",Outback Steakhouse,2400,3650.0,,71.0,mg,g,g,,,,,,,,,,,,,,,
Ultimate Smokehouse Combo,"What's in it: A choice of  baby back ribs, smoked brisket, jalapeño-cheddar smoked sausage, BBQ chicken breast, or chicken tenders with sides of roasted street corn, fries, chile-garlic toast, and garlic dill pickles.",Chili’s,1270,2960.0,,20.0,mg,g,g,,,,,,,,,,,,,,,
Create Your Own Combination,"What's in it: Three shrimp dishes (Parrot Isle Jumbo Coconut, Walt's Favorite, and Linguine Alfredo), french fries, Caesar salad, and a Cheddar Bay Biscuit with a 24-ounce Lobsterita.",Red Lobster,3600,6530.0,,37.0,mg,g,g,,,,,,,,,,,,,,,
Fire-Grilled Chicken Thigh,,El Pollo Loco,210,,,,,,,3.1,15.0,21.0,0.0,Chicken Meals,oz,g,g,g,,,,,,
Vegan Chickenless Pollo Taco,,El Pollo Loco,140,,,,,,,5.3,3.5,9.0,20.0,Chickenless Pollo,oz,g,g,g,,,,,,
Double Tamale Bowl,,El Pollo Loco,910,,,,,,,23.5,42.0,32.0,97.0,Holiday Favorites,oz,g,g,g,,,,,,
Chicken Avocado Street Taco,,El Pollo Loco,290,,,,,,,6.2,17.0,17.0,17.0,Street Tacos,oz,g,g,g,,,,,,
Double Chicken Bowl,,El Pollo Loco,850,,,,,,,24.7,27.0,65.0,86.0,Bowls,oz,g,g,g,,,,,,
Classic Chicken Burrito,,El Pollo Loco,480,,,,,,,10.4,14.0,22.0,65.0,Extras,oz,g,g,g,,,,,,
Fire-Grilled Chicken Leg,,El Pollo Loco,80,,,,,,,1.6,4.0,12.0,0.0,Chicken Meals,oz,g,g,g,,,,,,
Fire-Grilled Chicken Wing,,El Pollo Loco,90,,,,,,,1.3,5.0,12.0,0.0,Chicken Meals,oz,g,g,g,,,,,,
"6"" Corn Tortillas",,El Pollo Loco,110,,,,,,,1.8,1.5,2.0,22.0,Extras,oz,g,g,g,,,,,,
Mexican Hot Chocolate,,El Pollo Loco,210,,,,,,,12.2,6.0,5.0,34.0,Holiday Favorites,oz,g,g,g,,,,,,
Vegan Chickenless Pollo Burrito,,El Pollo Loco,550,,,,,,,16.1,16.0,23.0,82.0,Burritos,oz,g,g,g,,,,,,
Original BRC Burrito,,El Pollo Loco,410,,,,,,,7.6,11.0,14.0,61.0,Burritos,oz,g,g,g,,,,,,
Double Chicken Tostada Salad,,El Pollo Loco,990,,,,,,,20.6,49.0,61.0,77.0,Tostadas,oz,g,g,g,,,,,,
Classic Chicken Burrito,,El Pollo Loco,480,,,,,,,10.4,14.0,22.0,65.0,Burritos,oz,g,g,g,,,,,,
Grande Avocado Chicken Bowl,,El Pollo Loco,770,,,,,,,22.6,26.0,44.0,89.0,Bowls,oz,g,g,g,,,,,,
Original Pollo Bowl®,,El Pollo Loco,530,,,,,,,18.1,7.0,36.0,80.0,Bowls,oz,g,g,g,,,,,,
Chicken Black Bean Bowl,,El Pollo Loco,460,,,,,,,18.7,11.0,37.0,57.0,Under 500 Calories,oz,g,g,g,,,,,,
Chicken Taco Al Carbon,,El Pollo Loco,140,,,,,,,3.1,4.0,10.0,17.0,Street Tacos,oz,g,g,g,,,,,,
Chicken Taco Al Carbon,,El Pollo Loco,140,,,,,,,3.1,4.0,10.0,17.0,Extras,oz,g,g,g,,,,,,
Chickenless Pollo Burrito,,El Pollo Loco,750,,,,,,,18.1,35.0,28.0,86.0,Burritos,oz,g,g,g,,,,,,
Fire-Grilled Chicken Breast,,El Pollo Loco,220,,,,,,,4.3,9.0,36.0,0.0,Chicken Meals,oz,g,g,g,,,,,,
Classic Chicken Burrito Combo,,El Pollo Loco,580,,,,,,,13.1,18.0,35.0,68.0,$5 Fire Grilled Combos,oz,g,g,g,,,,,,
Mac & Cheese Chicken Taco,,El Pollo Loco,260,,,,,,,4.6,12.0,13.0,23.0,Kids Meals,oz,g,g,g,,,,,,
Mexican Hot Chocolate,,El Pollo Loco,210,,,,,,,12.2,6.0,5.0,34.0,"Sides, Drinks & Salsas",oz,g,g,g,,,,,,
Vegan Chickenless Pollo Taco,,El Pollo Loco,140,,,,,,,5.3,3.5,9.0,20.0,Street Tacos,oz,g,g,g,,,,,,
"6"" Flour Tortillas",,El Pollo Loco,190,,,,,,,2.2,6.0,5.0,29.0,Extras,oz,g,g,g,,,,,,
Chickenless Pollo Street Taco,,El Pollo Loco,190,,,,,,,5.8,7.0,11.0,21.0,Street Tacos,oz,g,g,g,,,,,,
Chicken Nachos Combo,,El Pollo Loco,830,,,,,,,13.1,48.0,30.0,68.0,$5 Fire Grilled Combos,oz,g,g,g,,,,,,
Chickenless Pollo Burrito,,El Pollo Loco,750,,,,,,,18.1,35.0,28.0,86.0,Chickenless Pollo,oz,g,g,g,,,,,,
California Queso Burrito,,El Pollo Loco,930,,,,,,,19.4,42.0,40.0,93.0,Burritos,oz,g,g,g,,,,,,
Crispy Tamale and Tinga Bowl,,El Pollo Loco,710,,,,,,,18.9,31.0,29.0,75.0,Holiday Favorites,oz,g,g,g,,,,,,
Bottled Water,,El Pollo Loco,0,,,,,,,16.9,0.0,0.0,0.0,"Sides, Drinks & Salsas",oz,g,g,g,,,,,,
Vegan Chickenless Pollo Burrito,,El Pollo Loco,550,,,,,,,16.1,16.0,23.0,82.0,Chickenless Pollo,oz,g,g,g,,,,,,
Original BRC Burrito,,El Pollo Loco,410,,,,,,,7.6,11.0,14.0,61.0,Extras,oz,g,g,g,,,,,,
Double Chicken Avocado Salad,,El Pollo Loco,370,,,,,,,14.6,14.0,48.0,14.0,Under 500 Calories,oz,g,g,g,,,,,,
Chicken Black Bean Bowl,,El Pollo Loco,460,,,,,,,18.7,11.0,37.0,57.0,Bowls,oz,g,g,g,,,,,,
Chicken Tacos al Carbon Combo,,El Pollo Loco,430,,,,,,,9.5,13.0,29.0,51.0,$5 Fire Grilled Combos,oz,g,g,g,,,,,,
Double Loaded Queso Tamale Bowl,,El Pollo Loco,750,,,,,,,20.7,30.0,45.0,74.0,Holiday Favorites,oz,g,g,g,,,,,,
Two Cinnamon Churros,,El Pollo Loco,280,,,,,,,2.5,17.0,2.0,29.0,Extras,oz,g,g,g,,,,,,
Classic Tostada Salad,,El Pollo Loco,830,,,,,,,16.3,41.0,39.0,74.0,Tostadas,oz,g,g,g,,,,,,
Chicken Avocado Tortilla Wrap,,El Pollo Loco,480,,,,,,,11.9,19.0,34.0,47.0,Under 500 Calories,oz,g,g,g,,,,,,
Chipotle Chicken Avocado Burrito,,El Pollo Loco,880,,,,,,,18.9,40.0,44.0,86.0,Burritos,oz,g,g,g,,,,,,
Chicken Tinga Burrito,,El Pollo Loco,750,,,,,,,17.7,28.0,34.0,90.0,Burritos,oz,g,g,g,,,,,,
The World's First Keto Taco™,,El Pollo Loco,250,,,,,,,6.0,17.0,18.0,13.0,Street Tacos,oz,g,g,g,,,,,,
Chicken Avocado Burrito,,El Pollo Loco,870,,,,,,,18.0,47.0,42.0,71.0,Burritos,oz,g,g,g,,,,,,
Original Pollo Bowl®  Combo,,El Pollo Loco,530,,,,,,,18.1,7.0,36.0,80.0,$5 Fire Grilled Combos,oz,g,g,g,,,,,,
Chickenless Pollo Street Taco,,El Pollo Loco,190,,,,,,,5.8,7.0,11.0,21.0,Chickenless Pollo,oz,g,g,g,,,,,,
Original BRC Burrito,,El Pollo Loco,410,,,,,,,7.6,11.0,14.0,61.0,Kids Meals,oz,g,g,g,,,,,,
Honey Chipotle Crispers & Waffles,"""With 2,500 calories, 125 grams of fat, almost 4,500 milligrams of sodium, and a staggering 283 grams of carbs (plus 105 grams of sugar), this dish may take the cake for most problematic,"" says Presicci. You'd need to drink almost three 12oz cokes to consume the same amount of sugar, and 283g of carbs in one sitting is sure to send you on the blood sugar roller coaster.",Chilis,2500,4500.0,,,mg,,g,,125.0,,,,,g,,,"2,500 calories, 125 grams of fat, almost 4,500 milligrams of sodium, and a staggering 283 grams of carbs",30.0,105.0,40.0,g,
Ultimate Meat & Cheese Breakfast Burrito,"""This burrito doesn't actually look as indulgent as some of the other options, but the combination of bacon, sausage, tater tots, scrambled eggs, cheddar cheese, and tortilla means you'll be eating 840 calories, 2,220 milligrams of sodium, and 19 grams saturated fat for breakfast,"" says Rizzo. The amount of calories and salt alone will wreck your energy.",Sonic,840,2220.0,,19.0,mg,,g,,19.0,,,,,g,,,"840 calories, 2,220 milligrams of sodium,",28.0,,40.0,g,
Bavarian Legend Pretzel,"A soft pretzel might feel like a pretty safe choice, but this particular movie theater snack is roughly the nutritional equivalent of six original soft pretzel's from Auntie Anne's. The Bavarian Legend is 9"" wide, weighs about 1.5 pounds, and has 1,920 calories, 15 grams of saturated fat, and 7,600 milligrams of sodium.",AMC Theaters,1920,7600.0,,15.0,mg,,g,,15.0,,,,,g,,,"1,920 calories, 15 grams of saturated fat, and 7,600 milligrams of sodium",2.0,,40.0,g,
Full Size Taco Salad,"1,760 milligrams of sodium in a salad? No thanks! This salad has 620 calories and 28 grams of fat, too, which is probably not the ""healthy"" salad you had in mind.",Wendys,620,1760.0,,,mg,,g,,28.0,,,,,g,,,"1,760 milligrams of sodium",16.0,,40.0,g,
Toasted Tuscan Grilled Chicken,"""This sandwich sounds like a light, fresh option, but this is another example of a calorie bomb at what is perceived as a healthy fast casual restaurant,"" says Kailey Proctor, RD at the Center for Cancer Prevention and Treatment at St. Joseph Hospital in Orange County, California. This sandwich has 900 calories, 13 grams of saturated fat, and 1,510 milligrams of sodium, so it's best to ask for the basil mayo and pesto on the side.",Panera Bread,900,1510.0,,13.0,mg,,g,,13.0,,,,,g,,,"900 calories,",8.0,,40.0,g,
Macaroni Grill Mom’s Trio with Fettuccine Alfredo,"Restaurant pasta dishes are rarely healthy, and this is no exception. ""It's packed with calories (2,110), fat (129 grams), sodium (3,940 milligrams) and carbohydrates (140 grams). The result? You'll feel bloated, tired and way too full once you're done eating,"" says Presicci.",Romanos,2110,3940.0,,,mg,,g,,129.0,,,,,g,,,"calories (2,110), fat (129 grams), sodium (3,940 milligrams) and carbohydrates (140 grams)",33.0,,40.0,g,
Baconzilla Burger,"""This burger has two beef patties, triple the cheese (whatever that means), and four times the regular amount of bacon. In other words, this burger serves up 910 calories, 24 grams of saturated fat, and over 1,670 milligrams of sodium—that's half the calories and 2/3 the sodium you should have in a day,"" says Rizzo.",Checkers,910,1670.0,,24.0,mg,,g,,24.0,,,,,g,,,"910 calories, 24 grams of saturated fat, and over 1,670 milligrams of sodium",29.0,,40.0,g,
Club Tuna Sandwich,"Tuna is supposed to be healthy, but this sandwich proves otherwise. There are 1,000 calories in this sub, with 14.5 grams of saturated fat, and 2,230 milligrams of sodium. You're better off with plain turkey and tomato on a 7-grain bread with mustard.",Jimmy Johns,1000,2230.0,,14.5,mg,,g,,14.5,,,,,g,,,"1,000 calories in this sub, with 14.5 grams of saturated fat, and 2,230 milligrams of sodium",34.0,,40.0,g,
Double Bacon Smokehouse Burger,"This burger is pretty hefty, thanks to cheese, bacon, sauces, patties, and more. And the nutritional facts prove how bad it is for your health. It contains 1,130 calories, 27 grams of saturated fat, and 1,920 milligrams of sodium.",McDonalds,1130,1920.0,,27.0,mg,,g,,27.0,,,,,g,,,"1,130 calories, 27 grams of saturated fat, and 1,920 milligrams of sodium.",14.0,,40.0,g,
Bacon ’N Brisket Beef ’N Cheddar,"Know what you don't need to eat all at once? Bacon, brisket, roast beef, cheddar cheese sauce, and ranch dressing! ""It's calorie, saturated fat, and sodium overload! This one sandwich has 760 calories and 2,120 milligrams of sodium (almost 100% of the 2,300 milligrams you should have in one day),"" says Natalie Rizzo, MS, RD. It also has 41 grams of fat.",Arbys,760,2120.0,,,mg,,g,,41.0,,,,,g,,,"760 calories and 2,120 milligrams of sodium",25.0,,40.0,g,
Dave's Triple Burger,"With 1,090 calories, 72 grams of fat, and 1,650 milligrams of sodium, this burger is a calorie bomb and super fatty. (It's a ""triple"" for a reason!) Even the warning on the site says, ""Use both hands!""",Wendys,1090,1650.0,,,mg,,g,,72.0,,,,,g,,,"1,090 calories, 72 grams of fat, and 1,650 milligrams of sodium",19.0,,40.0,g,
Steak Quesadilla,"This meal has 2,390 milligrams of sodium, which is staggering when you consider that the average person should aim for around 2,500 milligrams in a day, says Presicci. That excess sodium will leave you feeling bloated, puffy, and thirsty. It also has 1,590 calories and 60 grams saturated fat.",Outback Steakhouse,1590,2390.0,,60.0,mg,,g,,60.0,,,,,g,,,"2,390 milligrams of sodium",31.0,,40.0,g,
Brisket Quesadilla,"""While this is an appetizer and is typically shared, that doesn't excuse its incredibly high calories (2,260), fat content (132 grams), sodium (6,050 milligrams), and carbs (186 grams) and it has more than 6,000 milligrams of sodium,"" says Presicci. Even if you split it four ways, it still contains about a day's worth of sodium per person. And this is without dressing and sauce.",Applebees,2260,6000.0,,,mg,,g,,,,,,,g,,,"calories (2,260), fat content (132 grams), sodium (6,050 milligrams), and carbs (186 grams) and it has more than 6,000 milligrams of sodium",35.0,,40.0,g,
Georgia Gold Extra Crispy Chicken,"These honey, sweet chicken tenders are super bad for you. Just one tender contains 400 milligrams of sodium. Yikes. Not to mention 200 calories and 14 grams of fat. We repeat: in just one tender.",KFC,200,400.0,,,mg,,g,,14.0,,,,,g,,,400 milligrams of sodium,18.0,,40.0,g,
McFlurry With M&M Candies,"As if the McFlurry wasn't unhealthy enough, you can also buy it with a packet of M&Ms mixed in. Carbs and sugar content make this horrible for you. ""The McFlurry contains precious few micronutrients that will support your health. In fact, your liver is probably going to be working overdrive to process and eliminate all the synthetic additives in the ice cream and candy,"" says nutritionist Lisa Richards. It contains 630 calories, 14 grams of saturated fat, and 200 milligrams of sodium—oh, and 86 grams of sugar.",McDonalds,630,200.0,,14.0,mg,,g,,14.0,,,,,g,,,"630 calories, 14 grams of saturated fat, and 200",11.0,86.0,40.0,g,
Honey-Chipotle Crispers & Waffles,"Chili's puts their own take on chicken and waffles by topping the creation with bacon,  jalapeños, and ancho-chile ranch. Served with fries and a honey-chipotle sauce, this meal comes in at 2,510 calories, 40 grams of fat, and 4,480 milligrams of sodium.",Chilis,2510,4480.0,,,mg,,g,,40.0,,,,,g,,,"2,510 calories, 40 grams of fat, and 4,480 milligrams of sodium.",5.0,,40.0,g,
Chicken and Waffles Sandwich,"Whether you're eating it for breakfast or dinner, this is a fat bomb. With 1,020 calories, 53 grams of fat, and 1,450 milligrams of sodium, this sandwich will account for almost half of your daily calories.",KFC,1020,1450.0,,,mg,,g,,53.0,,,,,g,,,"1,020 calories, 53 grams of fat, and 1,450 milligrams of sodium",17.0,,40.0,g,
Chicken Parmesan Pizza Style,"You could feed your fried chicken craving with this Italian-style dish, or you could eat four pieces of Popeyes fried chicken and four biscuits for about the same amount of calories, according to CSPI. This meal will cost you 1,870 calories, 55 grams of fat, and 3,080 milligrams of sodium.",Cheesecake Factory,1870,3080.0,,,mg,,g,,55.0,,,,,g,,,"1,870 calories, 55 grams of fat, and 3,080 milligrams of sodium.",3.0,,40.0,g,
El Diablo Thickburger,"This thick burger is seriously thick. Peppers, bacon, patty, sauces, and more, it's dangerous. With a total of 1,180 calories, 29 grams of saturated fat, and 2,210 milligrams of sodium, it'll plummet your energy stores.",Carls Jrs,1180,2210.0,,29.0,mg,,g,,29.0,,,,,g,,,"1,180 calories, 29 grams of saturated fat, and 2,210 milligrams of sodium",39.0,,40.0,g,
Vampire Taco,"Tacos can be healthy, but not when the tortillas are coated with a crispy grilled cheese and stuffed with pork, bacon chorizo and cream sauce. Along with the side of rice, beans and a 32 ounce IPA, this meal comes in at 2,040 calories, 27 grams of saturated fat, and 3,820 milligrams of sodium.",Yard House,2040,3820.0,,27.0,mg,,g,,27.0,,,,,g,,,"2,040 calories, 27 grams of saturated fat, and 3,820 milligrams of sodium.",4.0,,40.0,g,
Peanut Butter S’mores Pizookie,"We're not denying that this triple chocolate cookie, complete with peanut butter, marshmallow fluff, marshmallows, and vanilla ice cream sounds good, but it's probably best enjoyed sparingly. And with plenty of other co-diners. This dessert contains 1,580 calories, 31 grams of saturated fat, and 135 grams of sodium.",BJs Restaurant & Brewhouse,1580,135.0,,31.0,mg,,g,,31.0,,,,,g,,,"1,580 calories, 31 grams of saturated fat, and 135 grams of sodium.",6.0,,40.0,g,
Chicken Avocado Quesadilla,"Quesadillas are usually higher in the calorie, fat, and sodium department due to the amount of full-fat cheese in them, but this option from El Pollo Loco also has a cream-based dressing, says Proctor. It has 940 calories, 23 grams of saturated fat, and 1,820 milligrams of sodium.",El Pollo Loco,940,1820.0,,23.0,mg,,g,,23.0,,,,,g,,,"940 calories, 23 grams of saturated fat, and 1,820 milligrams of sodium",15.0,,40.0,g,
Double Double,"Items off of the secret menu, like 3x3, 4x4, and animal style, are worse, but the double double off of the main menu is pretty bad. It has 670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium, thanks to a ton of cheese and two patties.",In N Out,670,1440.0,,18.0,mg,,g,,41.0,,,,,g,,,"670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium",36.0,,40.0,g,
Cosmic Strawberry Coolata,"Nothing cool about this frosty beverage! ""With a whopping 30+ teaspoons of sugar and just about nothing else, this drink is sure to do a number on your blood sugar,"" says White. a large  has 480 calories, 60 milligrams sodium—and 121 grams of sugar. (Yikes!)",Dunkin Donuts,480,60.0,,,mg,,g,,,,,,,g,,,"480 calories, 60 milligrams sodium—and 121 grams of sugar",24.0,121.0,40.0,g,
Rustic Italian Panini,"""Heavily processed meats, like the salami and pepperoni, combined with a pesto vinaigrette brings the calorie, fat, saturated fat, and sodium content up,"" says Proctor. When picking out a sandwich, look for leaner sources of protein, like chicken breast or turkey, to bring down the calorie and fat content. This sandwich has 1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium.",Corner Bakery,1030,3310.0,,23.0,mg,,g,,23.0,,,,,g,,,"1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium",10.0,,40.0,g,
Big Farmhouse BreakFEAST,"""Depending on the accoutrements, this morning meal of eggs, pancakes, toast, and processed meats stacks up to nearly 2,000 calories and an obscene amount of sodium–nearly double the daily recommendation,"" says cookbook author, registered dietitian, certified athletic trainer Dana Angelo White, MS, RD ATC. The full meal contains 1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.",IHOPs,2000,2000.0,,46.0,mg,,g,,46.0,,,,,g,,,"1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.",20.0,,40.0,g,
Chicken Alfredo,"""A hard even 100 grams of fat in this pasta dish, and more than half is the artery-clogging saturated kind. And this is before the endless salad and breadsticks,"" says White. The dish has 1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.",Olive Garden,1620,1680.0,,,mg,,g,,100.0,,,,,g,,,"1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.",40.0,,40.0,g,
Breakfast Burrito,"Filled with scrambled eggs, bacon, chicken chorizo, cheese, crispy potatoes, avocado, peppers, and onions, it's no surprise this burrito made the list. With a serving of sour cream and black beans, this entree will set you back 2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.",Cheesecake Factory,2730,4630.0,,73.0,mg,,g,,73.0,,,,,g,,,"2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.",1.0,,40.0,g,
